category;subcategory;name;model;article;sku;brand;functional_name;nomenclature;price;price_wholesale;availability;product_url;image_file;passport_file
Домофоны и переговорные устройства;Вызывные панели;Рамка монтажная Hikvision DS-KD-ACF3;DS-KD-ACF3;283488;305700455;Hikvision;Рамка монтажная;Рамка;10411.83;9457.42;Под заказ;https://www.tinko.ru/catalog/product/283488/;image.jpg;passport.pdf
Домофоны и переговорные устройства;Вызывные панели;Рамка монтажная Hikvision DS-KD-ACW2;DS-KD-ACW2;283481;305700451;Hikvision;Рамка монтажная;Рамка;6162.11;5597.25;Под заказ;https://www.tinko.ru/catalog/product/283481/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Кронштейны;Кронштейн настенный Hikvision DS-1707ZJ-Y;DS-1707ZJ-Y;272104;302701881;Hikvision;Кронштейн настенный;Кронштейн;16867.44;15321.26;Под заказ;https://www.tinko.ru/catalog/product/272104/;image.jpg;
Домофоны и переговорные устройства;Вызывные панели;Рамка монтажная Hikvision DS-KD-ACW1;DS-KD-ACW1;282598;305700450;Hikvision;Рамка монтажная;Рамка;4791.23;4352.03;Под заказ;https://www.tinko.ru/catalog/product/282598/;image.jpg;passport.pdf
Домофоны и переговорные устройства;Дополнительное оборудование;Настольный кронштейн Hikvision DS-KABH6350-T;DS-KABH6350-T;330716;305701061;Hikvision;Настольный кронштейн;Кронштейн;1121.18;1018.41;В наличии;https://www.tinko.ru/catalog/product/330716/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Кронштейны;Кронштейн настенный Hikvision DS-1273ZJ-140;DS-1273ZJ-140;272302;302700333;Hikvision;Кронштейн настенный;Кронштейн;1545.84;1404.14;Под заказ;https://www.tinko.ru/catalog/product/272302/;image.jpg;passport.pdf
Домофоны и переговорные устройства;Дополнительное оборудование;Настенный козырек Hikvision DS-KABV6113-RS;DS-KABV6113-RS;289290;305700600;Hikvision;Настенный козырек;Кронштейн;518.4;470.88;В наличии;https://www.tinko.ru/catalog/product/289290/;image.jpg;passport.pdf
Средства и системы охранно-пожарной сигнализации;Охранно-пожарные сигнализации;Беспроводная система безопасности AX PRO Hikvision ОПС-079;ОПС-079;313768;;Hikvision;Беспроводная система безопасности AX PRO;Типовое решение ОПС;25170;;Под заказ;https://www.tinko.ru/catalog/product/313768/;image.jpg;
Средства и системы контроля и управления доступом;Mifare;Бесконтактная смарт карта Hikvision IC S50;IC S50;330775;363101635;Hikvision;Бесконтактная смарт карта;Карта проксимити;82.8;75.21;Под заказ;https://www.tinko.ru/catalog/product/330775/;image.jpg;passport.pdf
Домофоны и переговорные устройства;Вызывные панели;Рамка монтажная Hikvision DS-KD-ACW3;DS-KD-ACW3;283482;305700452;Hikvision;Рамка монтажная;Рамка;12337.92;11206.94;Под заказ;https://www.tinko.ru/catalog/product/283482/;image.jpg;passport.pdf
Средства и системы контроля и управления доступом;Кнопки выхода «Hikvision»;Кнопка выхода Hikvision DS-K7P03;DS-K7P03;266459;;Hikvision;Кнопка выхода;Кнопка;1362.31;1237.43;Под заказ;https://www.tinko.ru/catalog/product/266459/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Кронштейны;Кронштейн-адаптер Hikvision DS-1227ZJ-PT6;DS-1227ZJ-PT6;272041;302700942;Hikvision;Кронштейн-адаптер;Кронштейн;1044.24;948.52;Под заказ;https://www.tinko.ru/catalog/product/272041/;image.jpg;
